,dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
438,2022-05-10,1211.78,660,kcal,177,60,17,8
439,2022-05-11,1102.86,660,kcal,205,60,15,8
440,2022-05-12,982.756,660,kcal,188,60,14,8
441,2022-05-13,1136.3,660,kcal,205,60,13,8
442,2022-05-14,1861.1,660,kcal,325,60,15,8
443,2022-05-15,1374.65,660,kcal,261,60,17,8
444,2022-05-16,1231.76,660,kcal,183,60,15,8
445,2022-05-17,1069.58,660,kcal,184,60,15,8
446,2022-05-18,1444.9,660,kcal,237,60,16,8
447,2022-05-19,1133.01,660,kcal,194,60,16,8
448,2022-05-20,1103.48,660,kcal,201,60,15,8
449,2022-05-21,1475.27,660,kcal,282,60,15,8
450,2022-05-22,2007.68,660,kcal,335,60,16,8
451,2022-05-23,1267.3,660,kcal,209,60,13,8
452,2022-05-24,1182.83,660,kcal,176,60,15,8
453,2022-05-25,1101.56,660,kcal,199,60,16,8
454,2022-05-26,1296.46,660,kcal,231,60,15,8
455,2022-05-27,1103.04,660,kcal,211,60,16,8
456,2022-05-28,1698.9,660,kcal,270,60,16,8
457,2022-05-29,1373.64,660,kcal,237,60,17,8
458,2022-05-30,1173.9,660,kcal,189,60,15,8
459,2022-05-31,1148.29,660,kcal,183,60,14,8
460,2022-06-01,1028.85,660,kcal,190,60,16,8
461,2022-06-02,1053.96,660,kcal,192,60,15,8
462,2022-06-03,1268.86,660,kcal,212,60,16,8
463,2022-06-04,1700.48,660,kcal,333,60,16,8
464,2022-06-05,1443.72,660,kcal,234,60,16,8
465,2022-06-06,1156.49,660,kcal,225,60,15,8
466,2022-06-07,1094.33,660,kcal,170,60,15,8
467,2022-06-08,1125.23,660,kcal,214,60,13,8
468,2022-06-09,1292.04,660,kcal,179,60,15,8
469,2022-06-10,1009.99,660,kcal,206,60,15,8
470,2022-06-11,1321.72,660,kcal,241,60,17,8
471,2022-06-12,1509.87,660,kcal,252,60,17,8
472,2022-06-13,941.999,660,kcal,164,60,16,8
473,2022-06-14,953.505,660,kcal,184,60,17,8
474,2022-06-15,1239.46,660,kcal,211,60,17,8
475,2022-06-16,1032.58,660,kcal,167,60,16,8
476,2022-06-17,1002.34,660,kcal,192,60,17,8
477,2022-06-18,1549.29,660,kcal,289,60,17,8
478,2022-06-19,1212.34,660,kcal,232,60,16,8
479,2022-06-20,1169.15,660,kcal,163,60,15,8
480,2022-06-21,1010.11,660,kcal,181,60,14,8
481,2022-06-22,1240.54,660,kcal,227,60,16,8
482,2022-06-23,1062.76,660,kcal,229,60,17,8
483,2022-06-24,1050.32,660,kcal,194,60,16,8
484,2022-06-25,1252.56,660,kcal,248,60,16,8
485,2022-06-26,1501.79,660,kcal,237,60,16,8
486,2022-06-27,1015.49,660,kcal,201,60,12,8
487,2022-06-28,1160.65,660,kcal,220,60,15,8
488,2022-06-29,1399.12,660,kcal,248,60,16,8
